"Metabolite","Uptake_By_Strains","Secreted_By_Strains","Total_Exchange"
"Glycylphenylalanine",794,0,794
"Glycylproline",466,0,466
"Guanine",524,0,524
"Guanosine",331,768,1099
"Heparan sulfate degradation product 1",0,6,6
"Heparan sulfate degradation product 11",8,0,8
"Heparan sulfate degradation product 12",0,8,8
"Heparan sulfate degradation product 2",4,4,8
"Heparan sulfate degradation product 5",1,0,1
"Heparan sulfate degradation product 6",9,1,10
"Heparan sulfate degradation product 7",0,7,7
"Heparan sulfate degradation product 9",0,1,1
"Hesperetin",0,27,27
"Hesperetin 3,7-Diglucuronide",27,0,27
"Hesperetin 3-O-Sulfate",0,1,1
"Hesperetin 7-O-Glucuronide 3-Sulfate",1,0,1
"Hexadecanoate (n-C16:0)",4,0,4
"Hydrogen",765,349,1114
"Hydrogen peroxide",0,1,1
"Hydrogen sulfide",235,234,469
"Hydroxy Ropinirole",0,1,1
"Hypoxanthine",703,529,1232
"Indole",596,102,698
"Inosine",431,337,768
"Isethionic acid",2,0,2
"Isobutyrate, 2-Methylpropanoate",1,17,18
"Isocaproate",0,7,7
"Isochenodeoxycholate",2,0,2
"Isocholate",1,0,1
"Isoniazid",18,799,817
"Isovalerate, 3-Methylbutanoate",2,7,9
"Kestopentaose (4 fru, 1 glc inulin-type fructo-oligosaccharide)",33,6,39
"Kestose (2 fru, 1 glc inulin-type fructo-oligosaccharide)",2,0,2
"Konjac glucomannan",4,0,4
"L-Carnitine",0,3,3
"L-Guluronic acid",0,3,3
"L-Idonate",28,124,152
"L-Methionine Sulfoxide",166,0,166
"L-Norvaline",2,5,7
"L-Rhamnose",40,0,40
"L-alanine",844,1810,2654
"L-alanyl-L-aspartate",48,0,48
"L-alanyl-L-glutamate",57,0,57
"L-alanyl-L-glutamine",543,0,543
"L-alanyl-L-histidine",397,0,397
"L-alanyl-L-leucine",75,0,75
"L-alanyl-L-threonine",729,0,729
"L-alanylglycine",3,0,3
"L-arabinose",5,211,216
"L-arginine",3047,26,3073
"L-asparagine",1993,3,1996
"L-aspartate",828,421,1249
"L-cysteine",1335,29,1364
"L-cysteinylglycine",2478,0,2478
"L-dopa",5,0,5
"L-fucose",37,1,38
"L-glutamate",1607,833,2440
"L-glutamine",610,320,930
"L-histidine",2924,24,2948
"L-iduronate",0,1,1
"L-isoleucine",3106,86,3192
"L-lactate",143,1860,2003
"L-leucine",1718,1253,2971
"L-lysine",2735,25,2760
"L-malate",354,823,1177
"L-methionine",725,7,732
"L-methionine-R-sulfoxide",1,0,1
"L-methionyl-L-alanine",1261,0,1261
"L-phenylalanine",2369,61,2430
"L-proline",2664,13,2677
"L-serine",2713,327,3040
"L-threonine",2496,13,2509
"L-tryptophan",2179,197,2376
"L-tyrosine",2535,5,2540
"L-valine",2533,382,2915
"Lactam N-Glucuronide Of R406",3,0,3
"Lactose",27,0,27
"Lactulose",422,0,422
"Laminaribiose",2,4,6
"Larch arabinogalactan",6,0,6
"Lichenin from Icelandic moss",2,0,2
"Losartan",0,2,2
"Losartan-N1-glucuronide",1,0,1
"Losartan-N2-glucuronide / Losartan-M7",1,0,1
"M3 Glucuronide",1,0,1
"Malonate",0,7,7
"Maltohexaose",56,0,56
"Maltose",76,4,80
"Melibiose",229,0,229
"Menaquinone 7",599,0,599
"Menaquinone 8",2583,3,2586
"Methane",0,1,1
"Methanethiol",0,2,2
"Midazolam",0,1,1
"Midazolam-Glucuronide",1,0,1
"Mn2+",3464,0,3464
"N(alpha)-Benzyloxycarbonyl-L-leucine",5,34,39
"N-(2-Hydroxymethyl-3-Chloro-4-Hydroxyphenyl)-Anthranilic Acid",2,0,2
"N-Acetyl-5-Aminosalicylic Acid",0,57,57
"N-Acetylisoniazid",799,18,817
"N-acetyl-D-galactosamine",0,1,1
"N-acetyl-D-glucosamine",219,2,221
"N-acetyl-D-mannosamine",9,0,9
"N-acetylneuraminate",89,2,91
"NMN",2151,0,2151
"Neoprontosil",9,0,9
"Nicotinamide",64,1093,1157
"Nicotinate",851,272,1123
"Nitrate",515,0,515
"Nitrazepam, Benzalin, Neozepam",688,535,1223
"Nitric oxide",33,1,34
"Nitrite",221,401,622
"Nitrosochloramphenicol",943,55,998
"Nitrous oxide",1,33,34
"Norverapamil",0,523,523
"Norverapamil Glucuronide",523,0,523
"Not degradable product CSABCPASE_A/B, Gal4S-Gal-Xyl-L-Ser-protein",0,1,1
"Nw 1689 (N-Dealkylated Safinamide)",0,1,1
"Nw 1689 Acyl Glucuronide",1,0,1
"O-Succinylbenzoyl-CoA",1,0,1
"O2",3019,4,3023
"Oat spelt xylan",7,0,7
"Olsalazine",15,6,21
"Ornithine",647,927,1574
"Orotate",55,0,55
"Oxaloacetate",228,36,264
"Oxidized glutathione",114,0,114
"Phenol",3,0,3
"Pimelate",2,0,2
"Probenecid",0,1,1
"Probenecid Acyl Beta-D-Glucuronide",1,0,1
"Produced biomass",0,3464,3464
"Prontosil",16,3,19
"Propanal",0,9,9
"Propane-1,3-diol",0,21,21
"Propionate",0,1585,1585
"Propranolol",0,1,1
"Propranolol Glucuronide",1,0,1
"Protoheme",3283,0,3283
"Putrescine",2483,26,2509
"Pyridoxal",717,8,725
"Pyridoxal 5-phosphate",63,0,63
"Pyridoxamine",2,0,2
"Pyridoxine",104,1,105
"Pyruvate",569,282,851
"R total 2 position",1,0,1
"R-6-Hydroxywarfarin",0,26,26
"R-6-Hydroxywarfarin Glucuronate",26,0,26
"R-7-Hydroxy Warfarin Glucuronate",55,0,55
"R-7-Hydroxywarfarin",0,55,55
"R-8-Hydroxywarfarin",0,87,87
"R-8-Hydroxywarfarin Glucuronate",87,0,87
"R406",0,341,341
"R788 (Fostamatinib)",338,0,338
"R_R__2_3_Butanediol",42,19,61
"Raffinose",17,0,17
"Reduced glutathione",22,1,23
"Reduced riboflavin",0,2,2
"Repaglinide",0,1,1
"Repaglinide Acyl-Beta-D-Glucuronide",1,0,1
"Riboflavin",2854,0,2854
"S-4-Hydroxywarfarin",0,73,73
"S-4-Hydroxywarfarin Glucuronate",73,0,73
"S-6-Hydroxywarfarin",0,215,215
"S-6-Hydroxywarfarin Glucuronate",215,0,215
"S-Adenosyl-L-homocysteine",0,7,7
"S-Adenosyl-L-methionine",2,0,2
"S-carboxy ibuprofen",0,1,1
"S-carboxy ibuprofen glucuronide",1,0,1
"SKF 89124 Glucuronide",1,0,1
"SN-38",0,1,1
"SN38 glucuronide",1,0,1
"Salicin",142,0,142
"Sb-611855 (Intermediate Of M3)",0,1115,1115
"Serotonin",0,1,1
"Siroheme",2251,0,2251
"Sodium",1821,0,1821
"Sorivudine",56,0,56
"Spermidine",3043,4,3047
"Stachyose",140,0,140
"Succinate",626,1772,2398
"Sucrose",191,0,191
"Sulfanilamide",0,24,24
"Sulfapyridine",15,10,25
"Sulfasalazine",10,15,25
"Sulfathiazole",0,1,1
"Sulfathiazole Glucuronide",1,0,1
"Sulfite",1,1,2
"T antigen (core 1)",0,2,2
"Taurine",0,575,575
"Taurodeoxycholic acid",306,0,306
"Tempol 1-O-Glucuronide And 4-O-Glucoside",1,0,1
"Tempol 4-O-Glucoside",0,1,1
"Tempol 4-O-Glucuronide",1,0,1
"Tempol Hydroxylamine",0,1,1
"Thiamin",3089,0,3089
"Thiamin monophosphate",3,0,3
"Thymidine",974,53,1027
"Tn antigen",0,3,3
"Tolcapone N-Acetyl Amino Glucuronide",1,0,1
"Tolcapone N-Acetyl Amino Metabolite",0,1,1
"Tolfenamic Acid 1B",0,4,4
"Tolfenamic Acid 2A",0,2,2
"Tolfenamic Acid M5B",4,0,4
"Toluene",34,5,39
"Trehalose",262,0,262
"Trimethylamine N-oxide",609,309,918
"Tryptamine",1,0,1
"Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis)",0,1,1
"Tyramine",0,15,15
"Ubiquinone-8",808,0,808
"Urea",165,234,399
"Uridine",336,528,864
"Ursodiol",1,0,1
"Valeric Acid",0,1,1
"Water",1309,1647,2956
"Xanthine",248,13,261
"Xyloglucan",1,0,1
"Xylooligosaccharide, xylotetraose",40,0,40
"Zinc",3464,0,3464
"acetaminophen/ paracetamol",0,1,1
"aldehydo-D-xylose",75,47,122
"alpha-linolenate",1,0,1
"amylose (n=300 repeat units, alpha-1,4-glc)",2,0,2
"atorvastatin-acid",0,18,18
"atorvastatin-acyl-glucuronide / G2",5,0,5
"atorvastatin-ether-glucuronide -G1",18,0,18
"atorvastatin-lactone",0,5,5
"benzoate",0,123,123
"butanol",20,0,20
"calcium(2+)",3464,0,3464
"cellobiose",34,0,34
"chenodeoxycholate",178,427,605
"cholesterol",0,2,2
"chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan",1,0,1
"chorismate",7,1,8
"cis-Aconitate",4,0,4
"cytosine",389,1,390
"dTMP",2,1,3
"deoxycholic acid",0,344,344
"disialyl-T antigen",3,0,3
"estriol",0,1,1
"estrone",0,5,5
"estrone 3-glucosiduronic acid",5,0,5
"ethanesulfonate",2,0,2
"formaldehyde",4,272,276
"galactitol",2,0,2
"glucuronide-conjugate of 3-methoxy-acetaminophen",55,0,55
"glycine betaine",1,67,68
"glycochenodeoxycholate",139,1,140
"glycocholate",93,0,93
"glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})",10,0,10
"glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})",0,6,6
"glycogen, structure 5 (glycogenin-2[1,4-Glc])",0,3,3
"glycolaldehyde",3,601,604
"glycolate",263,98,361
"glycolithocholate",1,0,1
"heparan sulfate proteoglycan",6,0,6
"hyaluronan biosynthesis, precursor 1",1,0,1
"hyaluronan degradation product 1",1,0,1
"hydrogenphosphate",1062,1844,2906
"indole-3-acetate",0,2,2
"keto-phenylpyruvate",5,1,6
"laminarin (n=30 repeat units, beta -1,3 glc)",6,0,6
"lanosterol",5,0,5
"laurate",97,46,143
"lithocholate",0,1,1
"m-Tyramine",0,1,1
"magnesium",3464,0,3464
"maltotriose",16,6,22
"mannotriose (beta-1,4)",12,0,12
"meso-2,6-Diaminoheptanedioate",852,0,852
"methanol",227,14,241
"methylammonium",21,3,24
"myo-inositol",2,0,2
"n-butylamine",0,2,2
"octadecanoate (n-C18:0)",1345,0,1345
"octadecenoate (n-C18:1)",4,0,4
"oxalate(2-)",2,580,582
"p-Cresol",0,14,14
"pectins",11,0,11
"phenylacetate",488,87,575
"pitavastatin",0,6,6
"pitavastatin-glucuronide",6,0,6
"potassium",3464,0,3464
"protein-linked serine or threonine residue (O-glycosylation site)",0,2,2
"proton",1641,1706,3347
"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)",13,0,13
"rosuvastatin",0,13,13
"rosuvastatin-glucuronide",13,0,13
"selenate",277,0,277
"selenite",0,277,277
"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",3,0,3
"starch, structure 2 (1,6-{2[1,4-Glc], [1,4-Glc]})",2,3,5
"sulfate",3318,141,3459
"taurochenodeoxycholate",105,0,105
"taurocholate",175,0,175
"tetradecanoate (n-C14:0)",1166,0,1166
"thiosulfate(2-)",627,3,630
"trans-4-hydroxy-L-proline",10,0,10
"trimethylamine",307,620,927
"uracil",1307,10,1317
"xanthosine",211,318,529
